	 	 	 	 	Vent 	de uentis 	 	 	 				
ADRIANUS	Adrianus	 	 	 historicus	 	 	 	 	 				
AEL.	Aelianus	 II/III d. C. 	 	 sophista 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
AEL. $2	Aelianus	 I/II d. C. 	 	 tacticus 	 	 	 	 	 				
	 	 	 	 	Tact 	Tactica 	 	 	 				
AEL. DION.	Aelius Dionysius	 II d. C. 	 	 grammaticus 	 	 	 	 	 				
AEL. HIST.	Aelius Dius	 II d. C. 	 	 historicus 	 	 	 	 	 				
AEL. PROM.	Aelius Promotus	 d. II d. C. 	 	 medicus 	 	 	 	 	 				
AEMIL.	Aemilianus	 I d. C. 	 	 epigrammaticus 	 	 	 	 	 				
AEN. HIST.	Aeneas	 III/II a. C. 	 	 historicus 	 	 	 	 	 				
AEN. TACT.	Aeneas	 IV a. C. 	 	 tacticus 	 	 	 	 	 				
AEN. GAZ.	Aeneas Gazaeus	 V/VI d. C. 	 	 rhetor 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae 	 	 	 				
	 	 	 	 	Thphr 	Theophrastus 	 	 	 				
AENESIDAMUS	Aenesidamus	 heleníst. 	 	 historicus	 	 	 	 	 				
AENESIDAMUS CNOSSIUS	Aenesidamus Cnossius	 I a. C. 	 	 philosophus	 	 	 	 	 				
AESAR.	Aesara	 III a. C. 	 	 philosophus 	 	 	 	 	 				
AESCHIN.	Aeschines	 I a. C. 	 	 epigrammaticus 	 	 	 	 	 				
AESCHIN. $2	Aeschines	 IV a. C. 	 	 orator 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae 	 	 	 				
	 	 	 	 	 Sch 	 Scholia 	 	 	 				
AESCHIN. SOCR.	Aeschines Socraticus	 V/IV a. C. 	 	 philosophus 	 	 	 	 	 				
AESCHRIO	Aeschrio	 IV a. C. 	 	 lyricus	 	 	 	 	 				
AESCHRIO HIST.	Aeschrio Mytilenius	 IV a. C. 	 	 historicus 	 	 	 	 	 				
AESCHRIO PERG.	Aeschrio Pergamenus	 II d. C. 	 	 medicus 	 	 	 	 	 				
A.	Aeschylus	 VI/V a. C. 	 	 tragicus 	 	 	 	 	 				
	 	 	 	 	A 	Agamemnon 	 	 	 				
	 	 	 	 	Ch 	Choephori 	 	 	 				
	 	 	 	 	Eu 	Eumenides 	 	 	 				
	 	 	 	 	Pers 	Persae 	 	 	 				
	 	 	 	 	Pr 	Prometheus uinctus 	 	 	 				
	 	 	 	 	Supp 	Supplices 	 	 	 				
	 	 	 	 	Th 	Septem contra Thebas 	 	 	 				
	 	 	 	 	Eleg 	Fragmenta elegiaca 	 	 	 				
	 	 	 	 	Epigr 	Epigrammata 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
	 	 	 	 	 Sch 	 Scholia 	 	 	 				
AESCH. ALEX.	Aeschylus Alexandrinus	 I a. C. 	 	 tragicus 	 	 	 	 	 				
AESOP.	Aesopus	 	 	 fabularum scriptor 	 	 	 	 	 				
	 	 	 	 	Prou 	Prouerbia 	 	 	 				
	 	 	 	 	Sent 	Sententiae 	 	 	 				
AESOP. HIST.	Aesopus	 	 	 historicus 	 	 	 	 	 				
AETH.	Aethiopis	 VIII a. C. ?	 	 poema epicum 	 	 	 	 	 				
AËTHLIUS	Aëthlius	 V/IV a. C. 	 	 historicus	 	 	 	 	 				
AËTIUS	Aëtius	 I/II d. C. 	 	 doxographus	 	 	 	 	 				
AËT.	Aëtius	 VI d. C. 	 	 medicus 	 	 	 	 	 				
AËT. $2	Aëtius Antiochenus	 IV d. C. 	 	 	 	 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
	 	 	 	 	Synt 	Syntagmation 	 	 	 				
AFRIC. IUR.	Africanus, Sextus Caecilius	 II d. C. 	 	 iurisconsultus 	 	 	 	 	 				
AFRIC.	Africanus, Sextus Iulius	 II/III d. C. 	 	 uariae scientiae scriptor 	 	 	 	 	 				
	 	 	 	 	Cest 	Cesti 	 	 	 				
	 	 	 	 	Chron 	Chronicon 	 	 	 				
	 	 	 	 	Pers 	Narratio de rebus Persicis 	 	 	 				
	 	 	 	 	Ep. Arist 	Epistula ad Aristidem 	 	 	 				
	 	 	 	 	Ep. Orig 	Epistula ad Origenem 	 	 	 				
AGACLYT.	Agaclytus	 I a. C. 	 	 historicus 	 	 	 	 	 				
AGAM.	Agamestor Pharsalius	 heleníst. 	 	 lyricus 	 	 	 	 	 				
AGAP. PAPA	Agapetus	 VI d. C. 	 	 papa 	 	 	 	 	 				
	 	 	 	 	Ep. Syn 	Epistula Synodica 	 	 	 				
AGAP.	Agapetus Constantinopolitanus	 VI d. C. 	 	 diaconus 	 	 	 	 	 				
	 	 	 	 	Cap 	Capitula admonitoria 	 	 	 				
AGATHAN.	Agathangelus	 V d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	V. Gr. Ill 	Vita Gregorii Illuminatoris 	 	 	 				
AGATHARCH.	Agatharchides	 II a. C. 	 	 geographus 	 	 	 	 	 				
	 	 	 	 	Fr. Hist 	Fragmenta historica 	 	 	 				
AGATHARCH. HIST.	Agatharchides Samius	 I/II d. C. 	 	 historicus 	 	 	 	 	 				
AGATHEM.	Agathemerus	 I/II d. C. 	 	 geographus 	 	 	 	 	 				
AGATH.	Agathias	 VI d. C. 	 	 historicus atque epigrammaticus 	 	 	 	 	 				
AGATHIN.	Agathinus	 I d. C. 	 	 medicus 	 	 	 	 	 				
AGATHO EPIGR.	Agatho	 	 	 epigrammaticus 	 	 	 	 	 				
AGATHO	Agatho	 heleníst. 	 	 historicus	 	 	 	 	 				
	 	 	 	 	Pont 	Ponti periplus 	 	 	 				
AGATHO	Agatho	 V a. C. 	 	 tragicus	 	 	 	 	 				
AGATH. SAM.	Agatho Samius	 	 	 historicus 	 	 	 	 	 				
AGATHOCL.	Agathocles	 III a. C. 	 	 historicus 	 	 	 	 	 				
AGATH. ALCH.	Agathodaemo	 	 	 alchemista 	 	 	 	 	 				
AGATHYLLUS	Agathyllus	 heleníst. 	 	 elegiacus	 	 	 	 	 				
PS. AGENN.	Pseudo Agennius Urbicus	 V/VI d. C. 	 	 gromaticus 	 	 	 	 	 				
AGESILAUS	Agesilaus	 	 	 historicus	 	 	 	 	 				
AGIAS	Agias	 IV/	 	 historicus	 	 	 	 	 				
AGIS	Agis	 III a. C. 	 	 epigrammaticus	 	 	 	 	 				
AGLAIAS	Aglaias	 I d. C. 	 	 elegiacus	 	 	 	 	 				
AGLAOSTHENES	Aglaosthenes	 IV/III a. C. 	 	 historicus	 	 	 	 	 				
AGRAPH.	Agrapha	 	 	 	 	 	 	 	 				
AGROETAS	Agroetas	 heleníst. 	 	 historicus	 	 	 	 	 				
ALB.	Albinus	 II d. C. 	 	 philosophus 	 	 	 	 	 				
	 	 	 	 	Intr 	Introductio in Platonem 	 	 	 				
ALC. COM.	Alcaeus	 V/IV a. C. 	 	 comicus 	 	 	 	 	 				
ALC.	Alcaeus	 VII/	 	 lyricus 	 	 	 	 	 				
ALC. MESS.	Alcaeus Messenius	 III/II a. C. 	 	 epigrammaticus 	 	 	 	 	 				
ALCAMEN.	Alcamenes Abydenus	 I d. C. 	 	 medicus 	 	 	 	 	 				
ALCETAS	Alcetas	 III/II a. C. 	 	 historicus	 	 	 	 	 				
ALCIB.	Alcibiades	 V a. C. 	 	 lyricus 	 	 	 	 	 				
ALCID.	Alcidamas	 IV a. C. 	 	 rhetor 	 	 	 	 	 				
ALCIMENES	Alcimenes	 III a C. 	 		 	 	 	 	 				
ALCIMUS	Alcimus Siceliota	 IV a. C. 	 	 historicus 	 	 	 	 	 				
ALCIN.	Alcinous	 I d. C. ?	 	 philosophus 	 	 	 	 	 				
ALCIPHR.	Alciphro	 IV d. C. 	 	 epistolographus 	 	 	 	 	 				
	 	 	 	 	Fr 	Fragmentum 	 	 	 				
ALCMAEO	Alcmaeo	 V a. C. 	 	 philosophus	 	 	 	 	 				
ALCMAEONIS	Alcmaeonis	 VI a. C. 	 	 poema epicum	 	 	 	 	 				
ALCM.	Alcman	 VII a. C. 	 	 lyricus 	 	 	 	 	 				
ALEXAND. COM.	Alexander	 II/I a. C. 	 	 comicus 	 	 	 	 	 				
ALEX.	Alexander	 II d. C. 	 	 rhetor 	 	 	 	 	 				
	 	 	 	 	Fig 	de figuris 	 	 	 				
	 	 	 	 	Rh 	de materiis rhetoricis 	 	 	 				
ALEX. AET.	Alexander Aetolus	 III a. C. 	 	 elegiacus 	 	 	 	 	 				
ALEX. AL.	Alexander Alexandrinus	 III/IV d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Depos 	de Arii depositione 	 	 	 				
	 	 	 	 	Ep. Alex 	Epistula ad Alexandrum Constantinopolitanum 	 	 	 				
	 	 	 	 	Ep. encycl 	Epistula encyclica 	 	 	 				
	 	 	 	 	Ep. Aegl 	Fragmenta epistulae ad Aeglonem 	 	 	 				
ALEX. APHR.	Alexander Aphrodisiensis	 III d. C. 	 	 philosophus 	 	 	 	 	 				
	 	 	 	 	de An 	de anima 	 	 	 				
	 	 	 	 	Fat 	de fato 	 	 	 				
	 	 	 	 	Febr 	de febribus 	 	 	 				
	 	 	 	 	in APo 	in Analytica posteriora commentariorum fragmenta 	 	 	 				
	 	 	 	 	in APr 	in Aristotelis Analyticorum Priorum librum I commentarium.  	 	 	 				
	 	 	 	 	in Metaph 	in Aristotelis Metaphysica commentaria 	 	 	 				
	 	 	 	 	in Mete 	in Aristotelis Meteorologicorum libros commentaria 	 	 	 				
	 	 	 	 	in Sens 	in librum de Sensu commentarium 	 	 	 				
	 	 	 	 	in Top 	in Aristotelis Topicorum libros octo commentaria 	 	 	 				
	 	 	 	 	Mixt 	de mixtione 	 	 	 				
	 	 	 	 	Pr 	Problemata 	 	 	 				
	 	 	 	 	Pr. Anec 	Problemata anecdota 	 	 	 				
	 	 	 	 	Quaest 	Quaestiones 	 	 	 				
ALEX. COT.	Alexander Cotiaeus	 I/II d. C. 	 	 rhetor 	 	 	 	 	 				
ALEX. EPH.	Alexander Ephesius	 I a C. 	 	 epicus 	 	 	 	 	 				
ALEX. H.	Alexander Hierosolymitanus	 III d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Fr 	Fragmenta epistularum 	 	 	 				
ALEX. LYC.	Alexander Lycopolitanus	 IV d. C. 	 	 philosophus 	 	 	 	 	 				
	 	 	 	 	Man 	contra Manichaei opiniones disputatio 	 	 	 				
ALEX. MAGN.	Alexander Magnes	 I a. C. /	 	 epigrammaticus 	 	 	 	 	 				
ALEXANDER MAGNUS	Alexander Magnus	 IV a. C. 	 	 rex, epistolographus	 	 	 	 	 				
ALEX. MYND.	Alexander Myndius	 I d. C. 	 	 historicus 	 	 	 	 	 				
ALEX. POLYH.	Alexander Polyhistor	 I a C. 	 	 historicus 	 	 	 	 	 				
ALEX. SAL.	Alexander Salaminus	 VI d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Barn 	Laudatio in apostolum Barnabam 	 	 	 				
	 	 	 	 	Cruc 	de inuentione crucis 	 	 	 				
	 	 	 	 	Cruc. epit 	Epitome encomii crucis 	 	 	 				
ALEX. THESS.	Alexander Thessalonicensis	 IV d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Ep. Ath 	Epistula ad Athanasium 	 	 	 				
	 	 	 	 	Ep. Dion 	Epistula ad Dionysium comitem 	 	 	 				
ALEX. TRALL.	Alexander Trallianus	 VI d. C. 	 	 medicus 	 	 	 	 	 				
	 	 	 	 	Oc 	de oculis 	 	 	 				
ALEXARCHUS	Alexarchus	 I/II d. C. 	 	 historicus	 	 	 	 	 				
ALEXINUS ELEUS	Alexinus Eleus	 IV a. C. ?	 	 philosophus	 	 	 	 	 				
ALEXIO	Alexio	 I d. C. 	 	 grammaticus	 	 	 	 	 				
ALEX. $2	Alexis	 IV/III a. C. 	 	 comicus 	 	 	 	 	 				
ALEX. HIST.	Alexis Samius	 III a. C. 	 	 historicus 	 	 	 	 	 				
ALPH.	Alpheus	 I d. C. 	 	 epigrammaticus 	 	 	 	 	 				
ALYP.	Alypius	 III/IV d. C. 	 	 musicus 	 	 	 	 	 				
ALYP. CONST.	Alypius Constatinopolitanus	 V d. C. 	 	 presbyter 	 	 	 	 	 				
AMARANT.	Amarantus	 I/II d. C. 	 	 grammaticus 	 	 	 	 	 				
AMASIS	Amasis	 VI a. C. 	 	 epistolographus	 	 	 	 	 				
AMBR.	Ambrosius Mediolaniensis	 IV d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae 	 	 	 				
	 	 	 	 	Exhort 	Exhortatio 	 	 	 				
	 	 	 	 	Hex 	Hexameron 	 	 	 				
	 	 	 	 	Tob 	de Tobia 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
AMELESAGORAS	Amelesagoras	 IV a. C. 	 	 historicus	 	 	 	 	 				
AMEL.	Amelius Apamensis	 III d. C. 	 	 philosophus 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistula 	 	 	 				
AMER.	Amerias	 III a. C. 	 	 grammaticus 	 	 	 	 	 				
AMIPS.	Amipsias	 V/IV a. C. 	 	 comicus 	 	 	 	 	 				
AMMIAN.	Ammianus	 II d. C. 	 	 epigrammaticus 	 	 	 	 	 				
AMM. MARC.	Ammianus Marcellinus	 IV d. C. 	 	 historicus 	 	 	 	 	 				
AMMO	Ammo	 IV d. C. 	 	 astrologus	 	 	 	 	 				
AMMONAS	Ammonas	 IV d. C. 	 		 	 	 	 	 				
AMMONIDES	Ammonides	 	 	 epigrammaticus	 	 	 	 	 				
AMMON.	Ammonius	 V d. C. 	 	 epigrammaticus 	 	 	 	 	 				
AMMON. $2	Ammonius	 I/II d. C. 	 	 grammaticus 	 	 	 	 	 				
	 	 	 	 	Diff 	de adfinium vocabulorum differentia 	 	 	 				
	 	 	 	 	Impr 	de impropriis 	 	 	 				
AMMON. HIST.	Ammonius	 II/I a. C. 	 	 historicus 	 	 	 	 	 				
AMMON. $3	Ammonius	 V d. C. 	 	 philosophus 	 	 	 	 	 				
	 	 	 	 	in APr 	in Aristotelis analyticorum Priorum librum I commentarium 	 	 	 				
	 	 	 	 	in Cat 	in Aristotelis Categorias commentarius 	 	 	 				
	 	 	 	 	in Int 	in Aristotelis de Interpretatione commentarius 	 	 	 				
	 	 	 	 	in Porph 	in Porphyrii Isagogen siue V uoces 	 	 	 				
AMMON. AEG.	Ammonius Aegyptius	 IV d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae de Sanctis Pachomio et Theodoro 	 	 	 				
AMMON. $4	Ammonius Alexandrinus	 V d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Ac 	Fragmenta in Act. Ap 	 	 	 				
	 	 	 	 	Dan 	Fragmenta in Da 	 	 	 				
	 	 	 	 	Mat 	Fragmenta in Eu. Matt 	 	 	 				
	 	 	 	 	Petr 	Homilia in Ep. Petr 	 	 	 				
	 	 	 	 	Ps 	Fragmenta in Ps 	 	 	 				
	 	 	 	 	Io 	Fragmenta in Eu. Io 	 	 	 				
AMOMETUS	Amometus	 IV/III a. C. 	 	 historicus	 	 	 	 	 				
AMPH. HIST.	Amphicrates	 I a. C. 	 	 historicus 	 	 	 	 	 				
AMPH.	Amphilochius Iconiensis	 IV d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Circ 	Homilia in circumcisionem 	 	 	 				
	 	 	 	 	Poenit 	Homilia de poenitentia 	 	 	 				
	 	 	 	 	V. Bas 	Vita Basilii Caesariensis 	 	 	 				
	 	 	 	 	Ep. Syn 	Epistula synodalis 	 	 	 				
	 	 	 	 	Exerc 	aduersus exercitationem falsam = contra haereticos 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
	 	 	 	 	Fr. Sp 	Fragmenta spuria 	 	 	 				
	 	 	 	 	Mesopent 	Oratio in mesopentecosten 	 	 	 				
	 	 	 	 	Or 	Orationes 1-9 	 	 	 				
	 	 	 	 	Non. Desp 	Homilia de non desperando 	 	 	 				
	 	 	 	 	Or. in Res 	Oratio in resurrectionem domini 	 	 	 				
	 	 	 	 	Seleuc 	Iambi ad Seleucum 	 	 	 				
AMPH. SID.	Amphilochius Sidensis	 V d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae fragmentum 	 	 	 				
AMPHIO	Amphio	 I a. C. /	 	 historicus	 	 	 	 	 				
AMPHIS	Amphis	 IV a. C. 	 	 comicus	 	 	 	 	 				
AMPHITHEUS	Amphitheus	 III/II a. C. 	 	 historicus	 	 	 	 	 				
AMYNTAS	Amyntas	 III/II a. C. 	 	 epigrammaticus	 	 	 	 	 				
